,Seller ID,Seller's Main Category,Sign-up Time,Activation Time,1st Listing,1st Salable,1st Transaction
143,144,BBFF,2018-03-05,2018-04-09,2018-04-27,2018-06-22,2018-06-26
144,145,LifeStyle,2018-04-11,2018-04-25,2018-07-24,2018-07-29,2018-08-09
145,146,LifeStyle,2018-03-23,2018-03-28,2018-06-22,2018-07-09,2018-08-05
146,147,BBFF,2018-04-22,2018-04-27,2018-08-07,2018-08-08,2018-09-04
147,148,BBFF,2018-05-28,2018-08-31,2018-08-31,2018-09-12,2018-09-20
148,149,LifeStyle,2018-05-02,2018-07-25,2018-05-10,2018-08-16,2018-09-23
149,150,BBFF,2018-03-06,2018-04-13,2018-06-17,2018-06-19,2018-07-16
150,151,BBFF,2018-03-24,2018-03-28,2018-04-10,2018-07-06,2018-07-06
151,152,Electronic,2018-04-09,2018-04-23,2018-07-17,2018-07-22,2018-07-22
152,153,LifeStyle,2018-02-01,2018-03-26,2018-04-11,2018-05-15,2018-08-26
153,154,Book,2018-03-07,2018-04-19,2018-05-23,2018-06-17,2018-06-17
154,155,Digital Service,2018-03-22,2018-06-30,2018-06-12,2018-07-02,2018-07-04
155,156,BBFF,2018-04-15,2018-04-21,2018-07-24,2018-07-26,2018-07-26
156,157,BBFF,2018-04-16,2018-04-20,2018-07-06,2018-07-27,2018-08-11
157,158,BBFF,2018-05-18,2018-08-20,2018-06-29,2018-08-28,2018-09-02
158,159,Electronic,2018-06-02,2018-06-06,2018-09-10,2018-09-12,2018-09-12
159,160,BBFF,2018-06-29,2018-08-24,2018-10-04,2018-10-09,2018-10-16
160,161,Digital Service,2018-04-27,2018-05-18,2018-08-03,2018-08-06,2018-08-15
161,162,LifeStyle,2018-01-29,2018-03-21,2018-04-05,2018-05-09,2018-05-16
162,163,BBFF,2018-02-01,2018-04-23,2018-05-04,2018-05-12,2018-05-13
163,164,BBFF,2018-03-23,2018-04-17,2018-06-28,2018-07-01,2018-07-11
164,165,BBFF,2018-03-24,2018-04-11,2018-06-10,2018-07-02,2018-07-07
165,166,BBFF,2018-01-25,2018-04-12,2018-05-03,2018-05-04,2018-05-07
166,167,Electronic,2018-02-07,2018-03-02,2018-03-03,2018-05-17,2018-08-11
167,168,BBFF,2018-03-07,2018-03-27,2018-04-10,2018-06-14,2018-06-14
168,169,BBFF,2018-03-27,2018-03-28,2018-04-02,2018-07-04,2018-07-05
169,170,Digital Service,2018-03-28,2018-06-22,2018-07-04,2018-07-05,2018-07-31
170,171,BBFF,2018-04-11,2018-04-13,2018-06-22,2018-07-19,2018-07-21
171,172,LifeStyle,2018-02-02,2018-04-27,2018-05-09,2018-05-11,2018-05-14
172,173,Electronic,2018-03-26,2018-03-29,2018-07-01,2018-07-02,2018-07-03
173,174,LifeStyle,2018-02-02,2018-03-02,2018-05-08,2018-05-09,2018-05-10
174,175,LifeStyle,2018-03-23,2018-03-28,2018-06-11,2018-06-27,2018-06-27
175,176,BBFF,2018-04-17,2018-06-27,2018-07-19,2018-07-22,2018-07-20
176,177,BBFF,2018-04-17,2018-04-19,2018-07-21,2018-07-22,2018-08-09
177,178,BBFF,2018-04-03,2018-05-04,2018-07-06,2018-07-07,2018-07-07
178,179,BBFF,2018-04-13,2018-06-07,2018-07-17,2018-07-17,2018-08-08
179,180,BBFF,2018-04-06,2018-04-19,2018-06-29,2018-07-09,2018-07-10
180,181,BBFF,2018-06-11,2018-08-31,2018-09-13,2018-09-13,2018-10-05
181,182,LifeStyle,2018-01-07,2018-02-13,2018-03-30,2018-04-10,2018-04-12
182,183,LifeStyle,2018-04-05,2018-04-20,2018-05-04,2018-07-07,2018-07-10
183,184,Book,2018-04-20,2018-07-11,2018-06-18,2018-07-22,2018-07-17
184,185,Digital Service,2018-01-11,2018-03-26,2018-04-12,2018-04-13,2018-04-24
185,186,BBFF,2018-05-11,2018-06-27,2018-07-12,2018-08-11,2018-08-14
186,187,LifeStyle,2018-05-23,2018-05-23,2018-08-20,2018-08-23,2018-08-26
187,188,LifeStyle,2018-05-24,2018-05-28,2018-08-23,2018-08-24,2018-08-24
188,189,Electronic,2018-05-29,2018-05-30,2018-08-10,2018-08-29,2018-08-29
189,190,BBFF,2018-06-08,2018-07-16,2018-08-25,2018-09-08,2018-09-11
190,191,Digital Service,2018-07-02,2018-07-31,2018-10-01,2018-10-02,2018-10-03
191,192,LifeStyle,2018-07-04,2018-07-17,2018-09-24,2018-10-04,2018-10-05
192,193,Electronic,2018-02-02,2018-04-03,2018-05-03,2018-05-04,2018-05-26
193,194,BBFF,2018-04-05,2018-04-20,2018-07-04,2018-07-05,2018-09-23
194,195,BBFF,2018-05-10,2018-08-07,2018-08-07,2018-08-09,2018-08-12
195,196,LifeStyle,2018-06-07,2018-08-20,2018-08-24,2018-09-06,2018-09-10
196,197,BBFF,2018-03-24,2018-03-28,2018-06-13,2018-06-22,2018-06-24
197,198,BBFF,2018-04-23,2018-06-21,2018-07-16,2018-07-22,2018-07-23
198,199,BBFF,2018-05-15,2018-07-31,2018-08-08,2018-08-13,2018-08-13
199,200,BBFF,2018-05-17,2018-07-27,2018-07-27,2018-08-15,2018-08-14
200,201,BBFF,2018-06-14,2018-08-24,2018-08-23,2018-09-12,2018-09-13
201,202,Electronic,2018-04-28,2018-07-26,2018-07-23,2018-07-26,2018-07-29
202,203,BBFF,2018-05-28,2018-06-14,2018-08-08,2018-08-25,2018-08-24
203,204,BBFF,2018-07-05,2018-09-10,2018-09-25,2018-10-02,2018-10-03
204,205,Book,2018-04-12,2018-04-21,2018-05-19,2018-07-09,2018-07-13
205,206,LifeStyle,2018-04-17,2018-06-27,2018-07-12,2018-07-14,2018-07-15
206,207,BBFF,2018-05-31,2018-06-07,2018-07-03,2018-08-27,2018-09-28
207,208,BBFF,2018-06-12,2018-07-04,2018-07-09,2018-09-08,2018-09-08
208,209,Electronic,2018-07-12,2018-08-16,2018-08-15,2018-10-08,2018-10-11
209,210,BBFF,2018-01-30,2018-03-26,2018-03-26,2018-04-27,2018-04-28
210,211,BBFF,2018-03-22,2018-04-11,2018-06-14,2018-06-17,2018-10-13
211,212,BBFF,2018-04-03,2018-04-26,2018-06-26,2018-06-29,2018-06-28
212,213,BBFF,2018-04-26,2018-04-26,2018-05-22,2018-07-22,2018-07-18
213,214,LifeStyle,2018-05-11,2018-06-30,2018-07-03,2018-08-06,2018-08-14
214,215,Electronic,2018-05-15,2018-06-29,2018-05-31,2018-08-10,2018-08-19
215,216,BBFF,2018-06-08,2018-08-22,2018-08-21,2018-09-03,2018-09-11
216,217,BBFF,2018-07-13,2018-07-23,2018-09-18,2018-10-08,2018-10-08
217,218,BBFF,2018-01-30,2018-02-28,2018-04-13,2018-04-26,2018-05-02
218,219,LifeStyle,2018-03-23,2018-03-29,2018-05-31,2018-06-17,2018-07-14
219,220,BBFF,2018-03-23,2018-03-29,2018-06-04,2018-06-17,2018-06-15
220,221,LifeStyle,2018-06-27,2018-07-17,2018-09-12,2018-09-21,2018-09-25
221,222,Book,2018-02-07,2018-03-05,2018-03-26,2018-05-03,2018-05-03
222,223,BBFF,2018-03-24,2018-03-28,2018-03-31,2018-06-17,2018-06-18
223,224,BBFF,2018-03-30,2018-04-12,2018-05-04,2018-06-23,2018-06-23
224,225,BBFF,2018-04-04,2018-04-27,2018-06-19,2018-06-28,2018-08-05
225,226,BBFF,2018-04-10,2018-04-13,2018-06-26,2018-07-04,2018-07-11
226,227,Electronic,2018-05-04,2018-05-15,2018-07-25,2018-07-28,2018-07-31
227,228,BBFF,2018-06-04,2018-06-12,2018-08-24,2018-08-28,2018-09-01
228,229,Electronic,2018-06-14,2018-06-27,2018-08-30,2018-09-07,2018-09-24
229,230,LifeStyle,2018-06-22,2018-09-10,2018-08-24,2018-09-15,2018-09-15
230,231,LifeStyle,2018-06-25,2018-08-10,2018-08-08,2018-09-18,2018-10-13
231,232,BBFF,2018-07-18,2018-08-23,2018-09-19,2018-10-11,2018-10-12
232,233,BBFF,2018-03-07,2018-04-13,2018-04-04,2018-05-30,2018-06-02
233,234,BBFF,2018-04-04,2018-04-27,2018-06-19,2018-06-27,2018-07-09
234,235,BBFF,2018-04-12,2018-04-23,2018-07-03,2018-07-05,2018-08-23
235,236,BBFF,2018-05-15,2018-06-04,2018-07-20,2018-08-07,2018-09-19
236,237,BBFF,2018-06-14,2018-07-13,2018-07-11,2018-09-06,2018-09-08
237,238,Digital Service,2018-06-14,2018-06-18,2018-06-15,2018-09-06,2018-09-07
238,239,BBFF,2018-03-07,2018-03-26,2018-04-05,2018-05-29,2018-05-30
239,240,BBFF,2018-03-23,2018-04-16,2018-05-30,2018-06-14,2018-07-11
240,241,LifeStyle,2018-04-04,2018-06-04,2018-04-22,2018-06-26,2018-07-09
241,242,BBFF,2018-04-20,2018-05-14,2018-05-02,2018-07-12,2018-07-12
242,243,BBFF,2018-05-07,2018-05-11,2018-05-24,2018-07-29,2018-07-30
243,244,BBFF,2018-01-05,2018-03-14,2018-03-27,2018-03-28,2018-05-10
244,245,LifeStyle,2018-03-19,2018-04-09,2018-03-29,2018-06-09,2018-06-17
245,246,BBFF,2018-03-23,2018-03-30,2018-04-10,2018-06-13,2018-06-13
246,247,LifeStyle,2018-04-26,2018-04-27,2018-07-12,2018-07-17,2018-08-10
247,248,LifeStyle,2018-05-25,2018-06-29,2018-07-16,2018-08-15,2018-08-15
248,249,Electronic,2018-04-27,2018-05-03,2018-05-22,2018-07-17,2018-09-08
249,250,Electronic,2018-05-24,2018-07-30,2018-08-01,2018-08-13,2018-09-19
250,251,Book,2018-06-29,2018-08-24,2018-08-21,2018-09-18,2018-09-19
251,252,BBFF,2018-07-13,2018-07-23,2018-07-23,2018-10-02,2018-10-09
252,253,LifeStyle,2018-07-13,2018-07-13,2018-07-18,2018-10-02,2018-10-10
253,254,BBFF,2018-02-05,2018-03-28,2018-04-13,2018-04-26,2018-04-28
254,255,Digital Service,2018-04-04,2018-04-24,2018-06-20,2018-06-23,2018-08-09
255,256,LifeStyle,2018-04-10,2018-04-20,2018-06-28,2018-06-29,2018-07-06
256,257,BBFF,2018-04-16,2018-04-23,2018-05-08,2018-07-05,2018-07-09
257,258,BBFF,2018-05-03,2018-06-22,2018-05-03,2018-07-22,2018-07-27
258,259,BBFF,2018-06-20,2018-08-30,2018-08-28,2018-09-08,2018-09-20
259,260,BBFF,2018-06-20,2018-07-24,2018-07-31,2018-09-08,2018-09-13
260,261,BBFF,2018-07-23,2018-07-30,2018-10-06,2018-10-11,2018-10-18
261,262,LifeStyle,2018-04-23,2018-04-27,2018-07-10,2018-07-11,2018-07-13
262,263,BBFF,2018-05-04,2018-05-25,2018-06-13,2018-07-22,2018-07-19
263,264,BBFF,2018-05-15,2018-06-11,2018-06-14,2018-08-02,2018-08-04
264,265,Book,2018-06-29,2018-07-27,2018-09-14,2018-09-16,2018-09-17
265,266,BBFF,2018-07-06,2018-08-06,2018-08-10,2018-09-23,2018-10-14
266,267,BBFF,2018-07-10,2018-07-12,2018-07-20,2018-09-27,2018-09-30
267,268,BBFF,2018-04-09,2018-04-20,2018-05-29,2018-06-26,2018-06-27
268,269,BBFF,2018-04-20,2018-04-20,2018-06-25,2018-07-07,2018-07-08
269,270,BBFF,2018-05-14,2018-07-17,2018-07-29,2018-07-31,2018-08-03
270,271,LifeStyle,2018-06-26,2018-07-27,2018-09-10,2018-09-12,2018-09-23
271,272,BBFF,2018-07-18,2018-07-27,2018-08-28,2018-10-04,2018-10-06
272,273,BBFF,2018-07-25,2018-08-21,2018-08-27,2018-10-11,2018-10-12
273,274,BBFF,2018-03-05,2018-03-26,2018-04-05,2018-05-21,2018-05-26
274,275,Electronic,2018-03-13,2018-04-20,2018-05-21,2018-05-29,2018-05-30
275,276,BBFF,2018-04-29,2018-05-14,2018-07-11,2018-07-15,2018-07-16
276,277,BBFF,2018-05-03,2018-06-07,2018-07-11,2018-07-19,2018-10-18
277,278,BBFF,2018-05-24,2018-08-10,2018-08-08,2018-08-09,2018-08-14
278,279,LifeStyle,2018-06-07,2018-06-27,2018-08-22,2018-08-23,2018-08-26
279,280,BBFF,2018-06-08,2018-08-10,2018-06-22,2018-08-24,2018-08-24
280,281,BBFF,2018-07-02,2018-09-17,2018-09-11,2018-09-17,2018-09-20
281,282,BBFF,2018-07-26,2018-07-29,2018-08-20,2018-10-11,2018-10-16
282,283,Electronic,2018-03-28,2018-04-20,2018-06-02,2018-06-12,2018-06-15
283,284,BBFF,2018-03-22,2018-03-29,2018-04-04,2018-06-05,2018-06-15
284,285,BBFF,2018-03-23,2018-03-29,2018-06-05,2018-06-06,2018-06-06
285,286,Electronic,2018-04-06,2018-04-27,2018-04-09,2018-06-20,2018-06-26
286,287,BBFF,2018-05-08,2018-05-14,2018-07-11,2018-07-22,2018-07-20
287,288,BBFF,2018-05-08,2018-05-14,2018-07-16,2018-07-22,2018-07-21
288,289,LifeStyle,2018-05-12,2018-07-12,2018-06-28,2018-07-26,2018-07-27
289,290,BBFF,2018-06-03,2018-07-18,2018-08-16,2018-08-17,2018-08-16
290,291,Book,2018-07-06,2018-07-11,2018-07-22,2018-09-19,2018-09-20
291,292,Electronic,2018-07-26,2018-08-21,2018-08-21,2018-10-09,2018-10-12
292,293,BBFF,2018-01-29,2018-03-07,2018-02-09,2018-04-13,2018-04-14
293,294,BBFF,2018-03-24,2018-03-30,2018-06-05,2018-06-06,2018-06-12
294,295,Electronic,2018-05-09,2018-07-05,2018-07-19,2018-07-22,2018-07-31
295,296,BBFF,2018-05-14,2018-05-17,2018-06-15,2018-07-27,2018-07-26
296,297,LifeStyle,2018-07-08,2018-07-26,2018-09-19,2018-09-20,2018-10-16
297,298,Digital Service,2018-01-30,2018-04-10,2018-04-10,2018-04-13,2018-05-15
298,299,Book,2018-03-23,2018-03-29,2018-05-21,2018-06-04,2018-06-04
299,300,BBFF,2018-03-30,2018-04-11,2018-05-11,2018-06-11,2018-06-12
300,301,LifeStyle,2018-04-27,2018-05-22,2018-07-06,2018-07-09,2018-08-07
301,302,BBFF,2018-05-16,2018-06-28,2018-07-03,2018-07-28,2018-08-04
302,303,Electronic,2018-05-20,2018-07-20,2018-07-13,2018-08-01,2018-08-03
303,304,BBFF,2018-06-06,2018-08-17,2018-08-17,2018-08-18,2018-08-25
304,305,LifeStyle,2018-06-12,2018-06-27,2018-08-09,2018-08-24,2018-08-23
305,306,BBFF,2018-06-14,2018-06-22,2018-08-24,2018-08-26,2018-08-30
306,307,Electronic,2018-06-19,2018-08-22,2018-08-22,2018-08-31,2018-09-15
307,308,BBFF,2018-06-29,2018-07-06,2018-08-01,2018-09-10,2018-09-11
308,309,Electronic,2018-03-19,2018-03-28,2018-05-16,2018-05-30,2018-06-03
309,310,BBFF,2018-03-29,2018-04-12,2018-04-09,2018-06-09,2018-06-11
310,311,Electronic,2018-03-31,2018-04-17,2018-05-29,2018-06-11,2018-06-15
311,312,BBFF,2018-04-03,2018-05-03,2018-05-28,2018-06-14,2018-06-17
312,313,Book,2018-04-06,2018-04-13,2018-06-15,2018-06-17,2018-07-08
